CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
;;dodgedSuccess;*başarıyla kaçındı*;*successfully dodged*;*esquivado con éxito*;*esquivou com sucesso*;*erfolgreich ausgewichen*;*esquivé avec succès*;*schivato con successo*;*udane unikanie*;*успешно уклонился*;*成功躲避*;*成功躲避*;*成功に避けた*;*성공적으로 피했다*;*सफलतापूर्वक बचाव किया*;*تجنب بنجاح*;*সফলভাবে এড়িয়ে গিয়েছে*;*berhasil menghindar*;*หลบสำเร็จ*;*né thành công*
1;Althea;whatAreThese;*nefes nefese* Bunlar da ne böyle;*pants* What are these thingies?;*jadea* ¿Qué son estas cositas?;*ofegante* O que são essas coisinhas?;*keucht* Was sind diese Dinger?;*halète* Qu'est-ce que c'est que ces trucs?;*ansima* Che cosa sono queste cose?;*dyszy* Co to za rzeczy?;*запыхался* Что это за штуки?;*喘气* 这些东西是什么？;*喘氣* 這些東西是什麼？;*息を切らして* これらは何？;*헐떡이며* 이게 뭐야?;*हांफते हुए* ये चीजें क्या हैं?;*يلهث* ما هذه الأشياء؟;*হাঁফাতে হাঁফাতে* এগুলো কী?;*terengah-engah* Apa ini?;*หอบ* สิ่งเหล่านี้คืออะไร?;*thở hổn hển* Đây là những gì?
1;Althea;phew;Phew! Ucuz yırttım.;Phew! That was close!;¡Uf! ¡Eso estuvo cerca!;Ufa! Isso foi por pouco!;Puh! Das war knapp!;Ouf! C'était juste!;Uffa! È stato vicino!;Uf! To było blisko!;Фух! Это было близко!;呼！好险！;呼！好險！;ふう！ 危なかった！;휴! 아슬아슬했어!;हूँफ! वह क़रीब था!;حسنا! كان ذلك قريبا!;উফ! এটা খুব কাছাকাছি ছিল!;Huh! Hampir saja!;เฮ้อ! หวุดหวิด!;Phù! Thật là gần!
1;Althea;needToRest;Koşarken çok yoruldum, biraz dinlenmem lazım.;I'm so tired from running, need to take some rest;Estoy tan cansado de correr, necesito descansar;Estou tão cansado de correr, preciso descansar;Ich bin so müde vom Laufen, ich muss mich ausruhen;Je suis tellement fatigué de courir, j'ai besoin de me reposer;Sono così stanco di correre, ho bisogno di riposare;Jestem tak zmęczony bieganiem, muszę odpocząć;Я так устал от бега, мне нужно отдохнуть;我跑累了，需要休息一下;我跑累了，需要休息一下;走り疲れたので、少し休憩が必要です;달리느라 너무 피곤해, 좀 쉬어야겠어;भागने से बहुत थक गया हूँ, मुझे आराम करने की ज़रूरत है;أنا متعب جدًا من الجري، بحاجة إلى بعض الراحة;দৌড়াতে দৌড়াতে আমি খুব ক্লান্ত, আমাকে একটু বিশ্রাম নিতে হবে;Saya sangat lelah berlari, perlu istirahat sebentar;ฉันเหนื่อยมากจากการวิ่ง ต้องพักผ่อนบ้าง;Tôi quá mệt vì chạy, cần nghỉ ngơi một chút
1;Althea;howLongSleep;*üzgün* Acaba ne zamandır uyuyordum?;*sad* I wonder how long I’ve been sleeping?;*triste* Me pregunto cuánto tiempo he estado durmiendo;*triste* Me pergunto há quanto tempo estou dormindo;*traurig* Ich frage mich, wie lange ich geschlafen habe;*triste* Je me demande combien de temps j'ai dormi;*triste* Mi chiedo da quanto tempo sto dormendo;*smutny* Zastanawiam się, jak długo spałem;*грустно* Интересно, сколько я спал?;*难过* 我想知道我睡了多久？;*難過* 我想知道我睡了多久？;*悲しい* どれくらい寝ていたのだろう？;*슬프게* 얼마나 오래 잤는지 궁금해?;*उदास* मुझे आश्चर्य है कि मैं कब तक सो रहा था?;*حزين* أتساءل كم من الوقت كنت نائمًا؟;*দুঃখিত* আমি ভাবছি আমি কতক্ষণ ঘুমিয়েছি?;*sedih* Saya ingin tahu berapa lama saya telah tidur?;*เศร้า* ฉันสงสัยว่าฉันนอนหลับมานานแค่ไหน?;*buồn* Tôi tự hỏi tôi đã ngủ bao lâu rồi?
;;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
1;Althea;fascinating;Büyüleyici!;Fascinating!;¡Fascinante!;Fascinante!;Faszinierend!;Fascinant!;Affascinante!;Fascynujące!;Захватывающе!;令人着迷！;令人著迷！;魅力的だ！;매혹적이야!;आकर्षक!;رائع!;মুগ্ধকর!;Menakjubkan!;น่าหลงใหล!;Thú vị!
1;Althea;hmmWhatIsThis;Hmm. Bu da ne böyle?;Hmm. What is this?;Hmm. ¿Qué es esto?;Hmm. O que é isso?;Hmm. Was ist das?;Hmm. Qu'est-ce que c'est?;Hmm. Cos'è questo?;Hmm. Co to jest?;Хм. Что это?;嗯。这是什么？;嗯。這是什麼？;ふむ。これは何だ？;흠. 이게 뭐지?;हम्म। यह क्या है?;همم. ما هذا؟;হুম। এটা কি?;Hmm. Apa ini?;ฮึมม์. นี่คืออะไร?;Hmm. Đây là cái gì?
1;Althea;triesToGrabMushroom;*Küçük mantarı tutmaya çalışır*;*Tries to grab the mini mushroom*;*Trata de agarrar el mini hongo*;*Tenta pegar o mini cogumelo*;*Versucht, den Mini-Pilz zu greifen*;*Essaie d'attraper le mini champignon*;*Prova a prendere il mini fungo*;*Próbuje złapać mini grzyb*;*Пытается схватить мини-гриб*;*试图抓住小蘑菇*;*試圖抓住小蘑菇*;*ミニキノコを掴もうとする*;*작은 버섯을 잡으려 한다*;*मिनी मशरूम को पकड़ने की कोशिश करता है*;*يحاول إمساك الفطر الصغير*;*ছোট মাশরুম ধরার চেষ্টা করে*;*Mencoba mengambil jamur kecil*;*พยายามจับเห็ดเล็กๆ*;*Cố gắng chộp lấy nấm nhỏ*
;;stumbled;*Kükremelerden korkup düşer.*;*Loses balance due to the roarings*;*Pierde el equilibrio debido a los rugidos*;*Perde o equilíbrio devido aos rugidos*;*Verliert das Gleichgewicht aufgrund der Brüllgeräusche*;*Perd l'équilibre à cause des rugissements*;*Perde l'equilibrio a causa dei ruggiti*;*Traci równowagę z powodu ryku*;*Теряет равновесие из-за рычания*;*因吼叫而失去平衡*;*因吼叫而失去平衡*;*咆哮のせいでバランスを崩す*;*포효 때문에 균형을 잃다*;*दहाड़ के कारण संतुलन खो देता है*;*يفقد التوازن بسبب الزئير*;*গর্জনের কারণে ভারসাম্য হারিয়ে ফেলে*;*Kehilangan keseimbangan karena suara auman*;*เสียสมดุลเพราะเสียงคำราม*;*Mất thăng bằng vì tiếng gầm*
1;Althea;whatsHappening;Neler oluyor?;What is happening?;¿Qué está pasando?;O que está acontecendo?;Was passiert hier?;Que se passe-t-il?;Cosa sta succedendo?;Co się dzieje?;Что происходит?;发生了什么？;發生了什麼？;何が起こっているの？;무슨 일이야?;क्या हो रहा है?;ماذا يحدث؟;কি হচ্ছে?;Apa yang sedang terjadi?;เกิดอะไรขึ้น?;Chuyện gì đang xảy ra vậy?
1;Althea;breatheIn;Nefes Al;Breathe In;Inhala;Inspire;Einatmen;Inspire;Inspira;Weź oddech;Вдох;吸气;吸氣;吸う;숨을 들이쉬다;साँस लेना;شهيق;শ্বাস নাও;Tarik napas;หายใจเข้า;Hít vào
1;Althea;breatheOut;Nefes Ver;Breathe Out;Exhala;Expire;Ausatmen;Expire;Espira;Wydychaj;Выдох;呼气;呼氣;吐く;숨을 내쉬다;साँस छोड़ना;زفير;শ্বাস ছাড়ো;Buang napas;หายใจออก;Thở ra
1;Althea;iNeedToCalmDown;*endişeli* Sakinleşmem gerek.;*anxiously* I need to calm down.;*ansiosamente* Necesito calmarme.;*ansiosamente* Preciso me acalmar.;*ängstlich* Ich muss mich beruhigen.;*anxieusement* Je dois me calmer.;*ansiosamente* Devo calmarmi.;*z niepokojem* Muszę się uspokoić.;*тревожно* Мне нужно успокоиться.;*焦虑地* 我需要冷静下来。;*焦慮地* 我需要冷靜下來。;*不安げに* 落ち着く必要がある。;*불안하게* 진정해야 해.;*चिंतित होकर* मुझे शांत होना है।;*بقلق* أحتاج إلى أن أهدأ.;*উদ্বেগ নিয়ে* আমাকে শান্ত হতে হবে।;*dengan cemas* Saya perlu tenang.;*อย่างกระวนกระวาย* ฉันต้องใจเย็นลง;*lo lắng* Tôi cần phải bình tĩnh lại.
1;Althea;okayCalmDownMyself;Oh tamam! Biraz kendime geldim! … Yani ... Sanırım.;Oh, okay! I’ve pulled myself together a bit! … I mean … I guess.;¡Oh, está bien! Me he calmado un poco… Quiero decir… Supongo.;Ah, certo! Eu me recompus um pouco! ... Quero dizer ... Acho.;Oh, okay! Ich habe mich ein wenig gesammelt! … Ich meine … glaube ich.;Oh, d'accord! Je me suis un peu ressaisi! … Je veux dire… Je suppose.;Oh, va bene! Mi sono un po' ripreso! … Voglio dire… Credo.;Och, dobrze! Trochę się ogarnąłem! … To znaczy … Chyba.;Ох, ладно! Я немного пришел в себя! … То есть … Думаю.;哦，好吧！我稍微冷静了一下！…我的意思是…我猜。;哦，好吧！我稍微冷靜了一下！…我的意思是…我猜。;ああ、大丈夫！ 少し落ち着いた！ … つまり… 多分。;오, 알았어! 조금 진정했어! … 내 말은 … 아마도.;ओह, ठीक है! मैंने थोड़ा अपने आप को संभाल लिया है! … मेरा मतलब है … मुझे लगता है।;أوه، حسنًا! لقد استعدت نفسي قليلاً! … أعني … أعتقد.;ওহ, ঠিক আছে! আমি একটু শান্ত হয়েছি! … আমি মনে করি … মনে হয়।;Oh, baiklah! Saya sudah agak tenang! … Maksud saya … saya rasa.;โอ้ ได้แล้ว! ฉันตั้งสติได้บ้างแล้ว! … ฉันหมายถึง … ฉันคิดว่า;Ồ, được rồi! Tôi đã bình tĩnh lại một chút! … Ý tôi là … tôi đoán vậy.
1;Althea;hmmm;Hmmm…;Hmmm…;Hmmm…;Hmmm…;Hmmm…;Hmmm…;Hmmm…;Hmmm…;Хм…;嗯…;嗯…;うーん…;흠…;हम्म…;هممم…;হুমম…;Hmmm…;อืมม…;Hmmm…
;;littleMonsterCryRoar;*küçük mantar korktu* rrrr!;*mini mushroom is scared* rrrr!;*mini hongo tiene miedo* rrrr!;*mini cogumelo está com medo* rrrr!;*Mini-Pilz hat Angst* rrrr!;*mini champignon a peur* rrrr!;*mini fungo ha paura* rrrr!;*mini grzybek się boi* rrrr!;*мини-гриб испугался* rrrr!;*迷你蘑菇害怕了* rrrr!;*迷你蘑菇害怕了* rrrr!;*ミニキノコが怖がっている* rrrr!;*미니 버섯이 겁을 먹었다* rrrr!;*मिनी मशरूम डर गया* rrrr!;*المشروم الصغير خائف* rrrr!;*ছোট মাশরুম ভয়ে ভীত* rrrr!;*jamur mini ketakutan* rrrr!;*เห็ดน้อยกลัว* rrrr!;*nấm nhỏ sợ hãi* rrrr!
;;littleMonsterAttacks;*küçük mantar küçük gaz saldırısı yaptı!*;*mini mushroom activates a tiny gas attack!*;*mini hongo activa un ataque de gas pequeño!*;*mini cogumelo ativa um pequeno ataque de gás!*;*Mini-Pilz aktiviert einen kleinen Gasangriff!*;*mini champignon déclenche une petite attaque de gaz!*;*mini fungo attiva un piccolo attacco di gas!*;*mini grzybek aktywuje mały atak gazowy!*;*мини-гриб активирует маленькую газовую атаку!*;*迷你蘑菇发动了一个小型气体攻击!*;*迷你蘑菇發動了一個小型氣體攻擊!*;*ミニキノコが小さなガス攻撃を発動!*;*미니 버섯이 작은 가스 공격을 시작합니다!*;*मिनी मशरूम ने एक छोटा गैस हमला किया!*;*المشروم الصغير يطلق هجوم غاز صغير!*;*ছোট মাশরুম একটি ছোট গ্যাস আক্রমণ চালায়!*;*jamur mini mengaktifkan serangan gas kecil!*;*เห็ดน้อยทำการโจมตีแก๊สขนาดเล็ก!*;*nấm nhỏ kích hoạt một cuộc tấn công bằng khí nhỏ!*
1;Althea;youreCute;*gülümser* He he he, çok tatlısın ufaklık!;*smiles* He he he, you're so cute little one!;*sonríe* Je je je, ¡eres tan lindo, pequeño!;*sorri* He he he, você é tão fofo, pequenino!;*lächelt* He he he, du bist so süß, Kleiner!;*sourit* He he he, tu es si mignon, petit!;*sorride* He he he, sei così carino, piccolo!;*uśmiecha się* He he he, jesteś taki słodki, malutki!;*улыбается* Хи хи хи, ты такой милый, малыш!;*微笑* 嘿嘿嘿，你太可爱了，小家伙！;*微笑* 嘿嘿嘿，你太可愛了，小家伙！;*笑顔* へへへ、君は本当に可愛いね、小さなやつ！;*미소를 짓다* 헤헤헤, 넌 정말 귀여워, 꼬마야!;*मुस्कुराते हुए* हे हे हे, तुम बहुत प्यारे हो छोटे!;*يبتسم* ها ها ها، أنت لطيف جدًا أيها الصغير!;*হাসি* হি হি হি, তুমি এত সুন্দর, ছোট্ট বন্ধু!;*tersenyum* He he he, kamu sangat lucu, si kecil!;*ยิ้ม* ฮิฮิฮิ คุณน่ารักมากเลยเจ้าตัวน้อย!;*mỉm cười* Hi hi hi, bạn thật dễ thương, nhóc nhỏ!
1;Althea;sorryMonster;Üzgünüm, sevgili canavar. Çocuklarına zarar vermek istememiştim. Gerçekten!;I apologize, dear monster. I didn't want to hurt your kids. Really!;Pido disculpas, querido monstruo. No quería lastimar a tus hijos. ¡De verdad!;Peço desculpas, querido monstro. Eu não queria machucar seus filhos. Sério!;Entschuldigung, lieber Monster. Ich wollte deinen Kindern nicht wehtun. Wirklich!;Je m'excuse, cher monstre. Je ne voulais pas blesser tes enfants. Vraiment!;Mi scuso, caro mostro. Non volevo fare del male ai tuoi figli. Davvero!;Przepraszam, drogi potworze. Nie chciałem skrzywdzić twoich dzieci. Naprawdę!;Извиняюсь, дорогой монстр. Я не хотел причинить вред твоим детям. Правда!;我道歉，亲爱的怪物。我真的不想伤害你的孩子。真的！;我道歉，親愛的怪物。我真的不想傷害你的孩子。真的！;ごめんなさい、親愛なるモンスター。私はあなたの子供たちを傷つけたくありませんでした。本当に！;미안해, 사랑하는 괴물아. 네 아이들에게 해를 끼치고 싶지 않았어. 정말로!;मैं क्षमा चाहता हूँ, प्रिय राक्षस। मैं तुम्हारे बच्चों को चोट नहीं पहुँचाना चाहता था। वास्तव में!;أعتذر، أيها الوحش العزيز. لم أكن أريد أن أؤذي أطفالك. حقاً!;আমি দুঃখিত, প্রিয় দানব। আমি তোমার সন্তানদের ক্ষতি করতে চাইনি। সত্যি!;Saya minta maaf, monster yang terhormat. Saya tidak ingin menyakiti anak-anakmu. Sungguh!;ฉันขอโทษ มอนสเตอร์ที่รัก ฉันไม่ได้ตั้งใจจะทำร้ายลูกของคุณ จริง ๆ!;Tôi xin lỗi, quái vật thân mến. Tôi không muốn làm tổn thương con của bạn. Thật sự!
;;jump;Zıpla;Jump;Salta;Pule;Spring;Saute;Salta;Skok;Прыжок;跳跃;跳躍;ジャンプ;점프;कूदो;اقفز;লাফাও;Lompat;กระโดด;Nhảy
;;slide;Kay;Slide;Desliza;Deslize;Rutsche;Glisse;Scivola;Ślizg;Скользить;滑动;滑動;スライド;슬라이드;फिसलना;انزلق;স্লাইড;Geser;สไลด์;Trượt
